                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0373,                  2.859,                 2.1211,                0.90922,                      1,                 0.9575,                0.55776,                 1.5971,                 1.5866,                  1.202,                0.00032,                0.00032,                0.00032
                      2,                 1.4792,                 1.5495,                 1.5726,                0.98872,                0.81818,                0.88471,                0.46199,                  1.802,                 2.0519,                 1.3615,             0.00065347,             0.00065347,             0.00065347
                      3,                 1.3184,                 1.3821,                 1.4273,                0.94736,                      1,                  0.995,                0.63436,                 1.4666,                 1.5308,                 1.1467,              0.0009802,              0.0009802,              0.0009802
                      4,                 1.3275,                  1.244,                 1.3966,                      1,                0.81818,                 0.9875,                0.55598,                 1.2773,                 6.1238,                 1.2281,              0.0013002,              0.0013002,              0.0013002
                      5,                 1.3858,                  1.143,                 1.4619,                0.09333,                0.63636,                0.20673,                0.12599,                 1.3363,                 59.469,                 1.3554,              0.0016135,              0.0016135,              0.0016135
                      6,                  1.381,                 1.2948,                 1.4881,                  0.875,                0.63636,                0.88824,                0.58181,                 1.2057,                 7.1522,                 1.3497,               0.001901,               0.001901,               0.001901
                      7,                 1.3654,                 1.2525,                  1.541,                0.04239,                0.72727,                0.03728,                0.02607,                 1.4861,                 260.71,                 1.6849,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2943,                 1.1513,                 1.4736,                0.53207,                0.54545,                0.67083,                0.37003,                 1.8667,                 4.5972,                 1.8381,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1826,                 1.0082,                 1.3953,                0.65907,                0.36364,                0.39256,                 0.2737,                 2.2072,                 3.4402,                 2.3573,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2202,                 0.9496,                 1.3615,                0.79117,                0.34757,                0.39767,                0.26199,                 2.0217,                  2.702,                   2.04,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.3364,                 1.0809,                 1.4676,                0.96852,                0.81818,                0.91889,                0.61502,                 1.3595,                 3.0443,                 1.4072,               0.001802,               0.001802,               0.001802
                     12,                 1.2358,                0.93282,                 1.3794,                0.90318,                0.90909,                0.97571,                0.74314,                 1.1354,                 2.2539,                 1.4893,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.1691,                0.88848,                 1.3375,                0.98045,                      1,                  0.995,                0.70041,                 1.2766,                 1.0044,                 1.2647,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.1255,                0.88319,                 1.3374,                0.92089,                0.81818,                0.93986,                0.75064,                0.98365,                 2.3258,                 1.0948,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.1663,                0.95565,                   1.34,                 0.9058,                0.90909,                0.95935,                0.69031,                 1.1672,                 1.7452,                 1.1351,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.0598,                0.84659,                 1.2634,                0.99408,                      1,                  0.995,                0.73838,                 1.0704,                 1.3251,                 1.1048,               0.001703,               0.001703,               0.001703
                     17,                 1.0894,                 0.8521,                 1.3033,                      1,                0.99366,                  0.995,                  0.759,                0.97777,                 1.1676,                 1.1046,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.0896,                0.80977,                 1.2985,                0.91432,                0.97178,                 0.9875,                0.67002,                  1.109,                 1.1782,                 1.1265,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.0324,                0.76813,                 1.2695,                0.97091,                0.90909,                0.98115,                0.69458,                 1.0766,                0.86117,                  1.055,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0989,                0.80742,                  1.272,                0.97944,                      1,                  0.995,                0.75735,                0.95761,                0.89815,                 1.0711,              0.0016238,              0.0016238,              0.0016238
                     21,                 0.9933,                 0.7931,                 1.2495,                0.98131,                      1,                  0.995,                0.81515,                0.75607,                0.82027,                0.94965,               0.001604,               0.001604,               0.001604
                     22,                 1.0463,                0.78823,                 1.2798,                0.99136,                      1,                  0.995,                0.76338,                 1.0127,                0.79079,                 1.0269,              0.0015842,              0.0015842,              0.0015842
